,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
271,LACY SPRING,16.0,13.0,11.94,0.6832,25.0362,-86.59,-1166.59,2.149,0.194
272,LACY SPRING,17.0,13.0,11.94,0.6832,26.3752,-152.173,-1232.173,2.141,0.192
273,LACY SPRING,18.0,13.0,11.94,0.6832,27.3306,138.156,-1301.844,2.138,0.188
274,LACY SPRING,6.0,10.3,15.58,0.5962,9.5511,-32.526,-392.526,2.332,0.26
275,LACY SPRING,7.0,10.3,15.58,0.5962,11.7005,-91.447,-451.447,2.308,0.271
276,LACY SPRING,8.0,10.3,15.58,0.5962,13.8074,-154.004,-514.004,2.301,0.28
277,LACY SPRING,9.0,10.3,15.58,0.5962,15.3401,149.451,-570.549,2.281,0.275
278,LACY SPRING,10.0,10.3,15.58,0.5962,16.7129,89.438,-630.562,2.273,0.27
279,LACY SPRING,11.0,10.3,15.58,0.5962,18.0618,35.94,-684.06,2.252,0.263
280,LACY SPRING,12.0,10.3,15.58,0.5962,19.6593,-20.241,-740.241,2.24,0.262
281,LACY SPRING,13.0,10.3,15.58,0.5962,21.31,-72.875,-792.875,2.223,0.261
282,LACY SPRING,14.0,10.3,15.58,0.5962,23.8764,-132.291,-852.291,2.219,0.271
283,LACY SPRING,15.0,10.3,15.58,0.5962,26.9357,172.91,-907.09,2.209,0.284
284,LACY SPRING,16.0,10.3,15.58,0.5962,29.6297,117.087,-962.913,2.201,0.295
