Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
151,KANSAS,16.0,4.4,20.43,0.6692,23.7417,171.748,-548.252,2.685,0.611,15.855505617977526,7.234022837454773,70.4,379.8672
152,KANSAS,17.0,4.4,20.43,0.6692,25.8486,144.643,-575.357,2.657,0.624,15.855505617977526,5.595776947300821,74.80000000000001,439.4262
153,KANSAS,18.0,4.4,20.43,0.6692,27.9588,116.182,-603.818,2.637,0.635,15.855505617977526,4.155471622530294,79.2,503.2584
154,KANSAS,6.0,4.4,20.43,0.7401,8.7304,95.897,-264.103,3.329,0.666,15.855505617977526,10.9842618894896,26.400000000000002,52.3824
155,KANSAS,7.0,4.4,20.43,0.7401,10.2856,61.729,-298.271,3.232,0.663,15.855505617977526,6.001497238858209,30.800000000000004,71.9992
156,KANSAS,8.0,4.4,20.43,0.7401,11.8692,25.582,-334.418,3.176,0.664,15.855505617977526,2.155326390995181,35.2,94.9536
157,KANSAS,9.0,4.4,20.43,0.7401,13.3109,-7.32,-367.32,3.109,0.655,15.855505617977526,-0.5499252492318326,39.6,119.7981
158,KANSAS,10.0,4.4,20.43,0.7401,14.9429,-42.385,-402.385,3.07,0.657,15.855505617977526,-2.83646414016021,44.0,149.429
159,KANSAS,11.0,4.4,20.43,0.7401,16.4205,-74.393,-434.393,3.02,0.652,15.855505617977526,-4.530495417313723,48.400000000000006,180.62550000000002
160,KANSAS,12.0,4.4,20.43,0.7401,17.9926,-109.337,-469.337,2.995,0.652,15.855505617977526,-6.076776007914365,52.800000000000004,215.9112
161,KANSAS,13.0,4.4,20.43,0.7401,19.4939,-142.446,-502.446,2.965,0.65,15.855505617977526,-7.3072089217652705,57.2,253.4207
162,KANSAS,14.0,4.4,20.43,0.7401,21.31,-179.305,-539.305,2.955,0.659,15.855505617977526,-8.41412482402628,61.60000000000001,298.34
163,KANSAS,15.0,4.4,20.43,0.7401,23.3498,146.327,-573.673,2.936,0.67,15.855505617977526,6.266734618711938,66.0,350.24699999999996
164,KANSAS,16.0,4.4,20.43,0.7401,25.6799,110.094,-609.906,2.925,0.691,15.855505617977526,4.287166227282817,70.4,410.8784
165,KANSAS,17.0,4.4,20.43,0.7401,27.7443,78.718,-641.282,2.898,0.7,15.855505617977526,2.8372674747605817,74.80000000000001,471.6531
166,KANSAS,18.0,4.4,20.43,0.7401,29.6297,46.586,-673.414,2.877,0.702,15.855505617977526,1.572273765849806,79.2,533.3346
167,KANSAS,6.0,4.4,20.43,0.7945,9.6297,73.431,-286.569,3.587,0.764,15.855505617977526,7.625471198479703,26.400000000000002,57.7782
168,KANSAS,7.0,4.4,20.43,0.7945,11.4373,36.214,-323.786,3.478,0.767,15.855505617977526,3.1663067332324935,30.800000000000004,80.06110000000001
169,KANSAS,8.0,4.4,20.43,0.7945,13.3512,-2.611,-362.611,3.411,0.774,15.855505617977526,-0.19556294565282523,35.2,106.8096
170,KANSAS,9.0,4.4,20.43,0.7945,15.0405,-37.661,-397.661,3.33,0.768,15.855505617977526,-2.503972607293641,39.6,135.3645
171,KANSAS,10.0,4.4,20.43,0.7945,16.9542,-75.041,-435.041,3.282,0.773,15.855505617977526,-4.42610090714985,44.0,169.542
172,KANSAS,11.0,4.4,20.43,0.7945,18.7108,-109.166,-469.166,3.223,0.769,15.855505617977526,-5.834384419693439,48.400000000000006,205.81879999999998
173,KANSAS,12.0,4.4,20.43,0.7945,20.6303,-146.214,-506.214,3.19,0.773,15.855505617977526,-7.087342404133726,52.800000000000004,247.56359999999998
174,KANSAS,13.0,4.4,20.43,0.7945,22.3837,179.046,-540.954,3.151,0.769,15.855505617977526,7.998945661351787,57.2,290.98810000000003
175,KANSAS,14.0,4.4,20.43,0.7945,24.2934,140.609,-579.392,3.135,0.775,15.855505617977526,5.787950636798473,61.60000000000001,340.1076
176,KANSAS,15.0,4.4,20.43,0.7945,26.3752,104.711,-615.289,3.109,0.78,15.855505617977526,3.9700552033728655,66.0,395.628
177,KANSAS,16.0,4.4,20.43,0.7945,28.636,66.449,-653.551,3.096,0.793,15.855505617977526,2.3204707361363317,70.4,458.176
178,NEBRASKA SETTLER,6.0,8.9,12.18,0.8052,9.6034,-68.842,-428.842,2.777,0.33,16.400365853658535,-7.168502821917237,53.400000000000006,57.620400000000004
179,NEBRASKA SETTLER,7.0,8.9,12.18,0.8052,11.2133,-134.096,-494.096,2.749,0.328,16.400365853658535,-11.958656238573836,62.300000000000004,78.4931
180,NEBRASKA SETTLER,8.0,8.9,12.18,0.8052,12.7278,156.959,-563.041,2.743,0.326,16.400365853658535,12.33198196074734,71.2,101.8224
